chords
Bb
C
Bb
Bb

Ab
C
C
C
C
C
C
Bb
Bb
Ab
Bb
C
Bb
F
Ab

Ab
C
C
Bb
Ab
Bb
Bb
Bb
Bb
C

C
C
C
C
C
C
C
C
Bb
Ab
Ab
Ab
Bb
Bb
Bb
Ab
Ab
F

Bb
C
Bb
Bb
Bb
C
Ab
C
C
C
C
C
C
Bb
Bb
Ab
Bb
C
Bb
F
Ab

Ab
Ab
C
C
Bb
Bb
Bb
C

Ab
C
C
C
C
C
C
Bb
Bb
Ab
Bb
C
Bb
F
Ab

Ab
Ab
C
C
Bb
Eb
Eb
Eb
C
C
Bb
Ab

Ab
C
C
Bb
Bb
Ab
Ab

F
F
Ab
Ab
Bb
Bb
Bb
Ab
F

F
F
F
Ab
Ab
Bb
Bb
Bb
Bb
Ab

Ab
Eb
Ab
C
Ab
C
Ab
Ab
Ab
Ab
G
F
Eb

Eb
Eb
Eb
Ab
C
Ab
F
Ab
G
F
Eb
F

F
F
Ab
Ab
Bb
Bb
Bb
Ab
C

C
C
C
Ab
Ab
Bb
Bb
Bb
Bb
Ab

Ab
Eb
Ab
C
Ab
F
Ab
Ab
G
F
Eb

Eb
Eb
Eb
Ab
C
Ab
F
Ab
G
F
Eb
F

F
F
Ab
Ab
Bb
Bb
Bb
Ab
C

F
F
F
Ab
Ab
Bb
Bb
Bb
Bb
Ab

Ab
Eb
Ab
C
Ab
F
Ab
Ab
Ab
Ab
G
F
Eb

Eb
Eb
Eb
Ab
C
Ab
F
Ab
G
F
Eb
F

F
C
Bb
Ab

Bb
C
Bb
Bb
C

Ab
C
C
C
C
C
C
Bb
Bb
Ab
Bb
C
Bb
F
Ab

Bb
C
Bb
Bb
Bb
Bb
C

Ab
C
C
C
C
C
C
Bb
Bb
Ab
Bb
C
Bb
F
Ab
F
Ab
C
C
Bb

Ab
Eb
Eb
C
C
Bb
Ab

C
C
Bb
Bb
Ab
Ab

F
F
Ab
Ab
Bb
Bb
Bb
Ab
F

F
F
F
Ab
Ab
Bb
Bb
Bb
Bb
Ab

Ab
Eb
Ab
C
Ab
F
Ab
Ab
Ab
Ab
G
F
Eb

Eb
Eb
Eb
Ab
C
Ab
F
Ab
G
F
Eb
F

F
F
Ab
Ab
Bb
Bb
Bb
Ab
C

F
F
F
Ab
Ab
Bb
Bb
Bb
Bb
Ab

Ab
Eb
Ab
C
Ab
F
Ab
Ab
G
F
Eb

Eb
Eb
Eb
Ab
C
Ab
F
Ab
Ab
Ab
G
F
Eb

Ab
